Date,Price,Type,PnL
2025-03-05,1.079,Sell,398.29999999999905
2025-03-05,1.079,Sell,410.699999999999
2025-03-05,1.079,Sell,421.099999999999
2025-03-05,1.079,Sell,429.499999999999
2025-03-05,1.079,Sell,445.89999999999895
2025-03-05,1.079,Sell,460.29999999999893
2025-03-07,1.0832,Sell,464.89999999999884
2025-03-07,1.0832,Sell,467.49999999999875
2025-03-11,1.0918,Sell,476.69999999999885
2025-03-11,1.0918,Sell,483.89999999999895
2025-03-11,1.0918,Sell,489.09999999999906
2025-03-11,1.0918,Sell,492.29999999999916
2025-03-12,1.0886,Buy,492.29999999999916
2025-03-13,1.0866,Buy,492.29999999999916
2025-03-17,1.0921,Sell,495.7999999999992
2025-03-17,1.0921,Sell,501.2999999999993
2025-03-18,1.0943,Sell,504.9999999999993
2025-03-19,1.0906,Buy,504.9999999999993
2025-03-20,1.0866,Buy,504.9999999999993
2025-03-20,1.0886,Buy,504.9999999999993
2025-03-21,1.0826,Buy,504.9999999999993
2025-03-21,1.0846,Buy,504.9999999999993
2025-03-24,1.0806,Buy,504.9999999999993
2025-03-26,1.0746,Buy,504.9999999999993
2025-03-26,1.0766,Buy,504.9999999999993
2025-03-26,1.0786,Buy,504.9999999999993
2025-03-27,1.0798,Sell,510.1999999999994
2025-03-27,1.0798,Sell,513.3999999999995
